team_id,league_id,team_name,team_stadium,team_manager,team_abbv
94,5,Rennes,Roazhon Park,Julien Stephan,REN
95,5,Strasbourg,Stade de la Meinau,Patrick Vieira,STR
96,5,Toulouse,Stadium Municipal,Carles Martinez Novell,TOU
97,6,Birmingham City,St. Andrew's,Tony Mowbray,BIR
98,6,Blackburn Rovers,Ewood Park,John Eustace,BLA
99,6,Bristol City,Ashton Gate Stadium,Liam Manning,BRI
100,6,Cardiff City,Cardiff City Stadium,Erol Bulut,CAR
101,6,Coventry City,Coventry Building Society Arena,Mark Robins,COV
102,6,Huddersfield Town,Kirklees Satdium,Andre Breitenreiter,HUD
103,6,Hull City,MKM Stadium,Liam Rosenior,HUL
104,6,Ipswich Town,Portman Road,Kieran Mckenna,IPS
105,6,Leeds United,Elland Road,Daniel Farke,LED
106,6,Leicester City,King Power Stadium,Enzo Maresca,LEI
107,6,Middlesbrough,Riverside Stadium,Michael Carrick,MID
108,6,MIllwall,The Den,Neil Harris,MIL
109,6,Norwich City,Carrow Road,David Wagner,NOR
110,6,Plymouth Argyle,Home Park,Neil Dewsnip,PLY
111,6,Preston North End,Deepdale,Ryan Lowe,PNE
112,6,Quen Park Rangers,Loftus Road,Marti Cifuentes,QPR
113,6,Rotherham United,New York Stadium,Steve Evans,ROT
114,6,Sheffeild Wednesday,Hillsborough Stadium,Dany Rohl,SHE
115,6,Southampton,St. Mary's Stadium,Russell Martin,SOU
116,6,Stoke City,bet365 Stadium,Steven Schumacher,STK
117,6,Sunderland,Stadium of Light,Mike Dodds,SUN
118,6,Swansea City,Swansea.com Stadium,Luke Williams,SWA
119,6,Watford,Vicarage Road,Tom Cleverly,WAT
120,6,West Bromwich Albion,The Hawthorns,Carlos Corberan,WBA
